SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
112	0.000660001	2.27527e-05	0.0344737
113	0.000655607	2.30109e-05	0.0350986
114	0.000651269	2.32202e-05	0.0356537
115	0.00064699	2.33746e-05	0.0361283
116	0.000642757	2.34703e-05	0.0365151
117	0.000638577	2.35071e-05	0.0368116
118	0.000634436	2.34866e-05	0.0370196
119	0.000630342	2.34139e-05	0.0371448
120	0.000626266	2.32951e-05	0.0371967
121	0.000622219	2.31389e-05	0.0371876
122	0.000618194	2.29545e-05	0.0371315
123	0.000614203	2.27519e-05	0.0370431
124	0.000610224	2.25394e-05	0.0369362
125	0.000606253	2.23244e-05	0.0368235
126	0.000602309	2.21134e-05	0.0367144
127	0.000598373	2.19094e-05	0.036615
128	0.000594464	2.17143e-05	0.0365275
129	0.000590566	2.15265e-05	0.0364506
130	0.0005867	2.13436e-05	0.036379
131	0.000582851	2.11605e-05	0.0363051
132	0.000579043	2.09723e-05	0.036219
133	0.000575244	2.0772e-05	0.0361099
134	0.000571478	2.05546e-05	0.0359674
135	0.00056775	2.03151e-05	0.0357817
136	0.00056405	2.00491e-05	0.0355449
137	0.000560383	1.97543e-05	0.0352514
138	0.000556756	1.94298e-05	0.0348982
139	0.000553159	1.9076e-05	0.0344855
140	0.000549617	1.86958e-05	0.0340161
141	0.000546101	1.82922e-05	0.033496
142	0.000542636	1.78709e-05	0.0329335
143	0.000539212	1.74377e-05	0.0323393
144	0.000535821	1.69993e-05	0.0317258
145	0.000532469	1.65632e-05	0.0311065
146	0.000529165	1.61372e-05	0.0304956
147	0.0005259	1.57283e-05	0.0299074
148	0.000522666	1.5343e-05	0.0293553
149	0.00051947	1.49876e-05	0.0288517
150	0.000516307	1.46668e-05	0.0284072
151	0.000513183	1.43849e-05	0.0280307
152	0.000510093	1.41441e-05	0.0277284
153	0.000507045	1.3946e-05	0.0275044
154	0.000504033	1.37905e-05	0.0273602
155	0.000501051	1.36765e-05	0.0272956
156	0.000498124	1.36029e-05	0.0273083
157	0.000495215	1.35661e-05	0.0273944
